日期,每日原始總分,左側情緒分類
2025-01-01,0,0
2025-01-02,1,-1
2025-01-03,0,0
2025-01-04,0,0
2025-01-05,0,0
2025-01-06,0,0
2025-01-07,0,0
2025-01-08,0,0
2025-01-09,2,-1
2025-01-10,2,-1
2025-01-11,0,0
2025-01-12,-1,1
2025-01-13,-1,1
2025-01-14,0,0
2025-01-15,0,0
2025-01-16,2,-1
2025-01-17,0,0
2025-01-18,0,0
2025-01-19,0,0
2025-01-20,0,0
2025-01-21,1,-1
2025-01-22,3,-1
2025-01-23,0,0
2025-01-24,-2,1
2025-01-25,1,-1
2025-01-26,0,0
2025-01-27,-5,1
2025-01-28,1,-1
2025-01-29,0,0
2025-01-30,0,0
2025-01-31,-1,1
2025-02-01,0,0
2025-02-02,0,0
2025-02-03,-1,1
2025-02-04,2,-1
2025-02-05,2,-1
2025-02-06,0,0
2025-02-07,2,-1
2025-02-08,0,0
2025-02-09,-1,1
2025-02-10,-1,1
2025-02-11,2,-1
2025-02-12,-4,1
2025-02-13,-1,1
2025-02-14,1,-1
2025-02-15,0,0
2025-02-16,-1,1
2025-02-17,-1,1
2025-02-18,-1,1
2025-02-19,4,-1
2025-02-20,7,-1
2025-02-21,0,0
2025-02-22,-2,1
2025-02-23,2,-1
2025-02-24,1,-1
2025-02-25,2,-1
2025-02-26,5,-1
2025-02-27,1,-1
2025-02-28,0,0
2025-03-01,1,-1
2025-03-02,-1,1
2025-03-03,0,0
2025-03-04,-1,1
2025-03-05,-2,1
2025-03-06,0,0
2025-03-07,1,-1
2025-03-08,-1,1
2025-03-09,1,-1
2025-03-10,-1,1
2025-03-11,-5,1
2025-03-12,-3,1
2025-03-13,0,0
2025-03-14,-1,1
2025-03-15,0,0
2025-03-16,0,0
2025-03-17,-2,1
2025-03-18,1,-1
2025-03-19,0,0
2025-03-20,-3,1
2025-03-21,2,-1
2025-03-22,0,0
2025-03-23,1,-1
2025-03-24,1,-1
2025-03-25,-3,1
2025-03-26,-5,1
2025-03-27,1,-1
2025-03-28,-1,1
2025-03-29,0,0
2025-03-30,-14,1
2025-03-31,-12,1
2025-04-01,0,0
2025-04-02,0,0
2025-04-03,-3,1
2025-04-04,-6,1
2025-04-05,-9,1
2025-04-06,-5,1
2025-04-07,-9,1
2025-04-08,2,-1
2025-04-09,-3,1
2025-04-10,-3,1
2025-04-11,-4,1
2025-04-12,-1,1
2025-04-13,-1,1
2025-04-14,-1,1
2025-04-15,0,0
2025-04-16,0,0
2025-04-17,3,-1
2025-04-18,1,-1
2025-04-19,0,0
2025-04-20,-1,1
2025-04-21,0,0
2025-04-22,-1,1
2025-04-23,0,0
2025-04-24,-4,1
2025-04-25,-4,1
2025-04-26,0,0
2025-04-27,0,0
2025-04-28,0,0
2025-04-29,-3,1
2025-04-30,0,0
2025-05-01,0,0
2025-05-02,-2,1
2025-05-03,0,0
2025-05-04,-6,1
2025-05-05,0,0
2025-05-06,-1,1
2025-05-07,0,0
2025-05-08,0,0
2025-05-09,-4,1
2025-05-10,0,0
2025-05-11,0,0
2025-05-12,-1,1
2025-05-13,0,0
2025-05-14,-5,1
2025-05-15,-1,1
2025-05-16,0,0
2025-05-17,0,0
2025-05-18,-2,1
2025-05-19,0,0
2025-05-20,0,0
2025-05-21,0,0
2025-05-22,1,-1
2025-05-23,-2,1
2025-05-24,0,0
2025-05-25,0,0
2025-05-26,0,0
2025-05-27,-1,1
2025-05-28,1,-1
2025-05-29,-2,1
2025-05-30,0,0
2025-05-31,0,0
2025-06-01,0,0
2025-06-02,-2,1
2025-06-03,1,-1
2025-06-04,0,0
2025-06-05,1,-1
2025-06-06,0,0
2025-06-07,0,0
